study,participant.id,start.date,end.date,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,familiarity.algorithms.gov
study 3,study3_15,2/2/2021 13:27,2/2/2021 14:16,0,human,0,0,0 none,0,Dutch teacher,49,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,48,1,0
study 3,study3_16,2/2/2021 13:29,2/2/2021 13:42,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,49,1,1
study 3,study3_17,2/2/2021 13:30,2/2/2021 13:37,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,59,0,1
study 3,study3_18,2/2/2021 13:31,2/2/2021 13:42,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,43,0,1
study 3,study3_19,2/2/2021 13:31,2/2/2021 13:41,0,human,0,0,0 none,0,Dutch teacher,11,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,62,1,1
study 3,study3_20,2/2/2021 13:31,2/2/2021 13:42,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,41,1,1
study 3,study3_21,2/2/2021 13:31,2/2/2021 13:40,0,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,30,1,0
study 3,study3_22,2/2/2021 13:32,2/2/2021 13:41,0,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,1,0
study 3,study3_23,2/2/2021 13:32,2/2/2021 14:06,0,human,0,0,0 none,0,Dutch teacher,34,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,60,1,0
study 3,study3_24,2/2/2021 13:32,2/2/2021 13:41,1,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,57,0,0
study 3,study3_25,2/2/2021 13:32,2/2/2021 13:49,0,human,0,0,0 none,0,Dutch teacher,17,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,62,0,1
study 3,study3_26,2/2/2021 13:34,2/2/2021 13:52,0,human,0,0,0 none,0,Dutch teacher,18,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,65,1,0
study 3,study3_27,2/2/2021 13:34,2/2/2021 13:41,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,63,1,0
study 3,study3_28,2/2/2021 13:34,2/2/2021 13:41,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,1,0
study 3,study3_29,2/2/2021 13:36,2/2/2021 14:15,1,human,0,0,0 none,0,Dutch teacher,39,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,1,46,1,1
study 3,study3_30,2/2/2021 13:37,2/2/2021 13:47,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,63,1,1
study 3,study3_31,2/2/2021 13:38,2/2/2021 13:50,1,human,0,0,0 none,0,Dutch teacher,11,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,NA,75,NA,1
study 3,study3_32,2/2/2021 13:39,2/2/2021 13:44,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,62,1,0
study 3,study3_33,2/2/2021 13:39,2/2/2021 13:45,0,human,0,0,0 none,0,Dutch teacher,6,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,1,27,1,0
study 3,study3_34,2/2/2021 13:40,2/2/2021 14:41,0,human,0,0,0 none,0,Dutch teacher,62,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,8,0,0,0,42,1,1
study 3,study3_35,2/2/2021 13:40,2/2/2021 13:45,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,61,0,1
study 3,study3_36,2/2/2021 13:41,2/2/2021 13:51,0,human,0,0,0 none,0,Dutch teacher,10,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,4,1,1,1,52,1,0
study 3,study3_37,2/2/2021 13:41,2/2/2021 13:59,0,human,0,0,0 none,0,Dutch teacher,18,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,0,1
study 3,study3_38,2/2/2021 13:41,2/2/2021 14:05,0,human,0,0,0 none,0,Dutch teacher,23,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,50,1,1
study 3,study3_39,2/2/2021 13:42,2/2/2021 13:55,0,human,0,0,0 none,0,Dutch teacher,13,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,34,1,1
study 3,study3_40,2/2/2021 13:42,2/2/2021 14:23,0,human,0,0,0 none,0,Dutch teacher,40,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,0,1
study 3,study3_41,2/2/2021 13:43,2/2/2021 14:06,0,human,0,0,0 none,0,Dutch teacher,23,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,47,0,1
study 3,study3_42,2/2/2021 13:43,2/2/2021 13:50,1,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,45,1,0
study 3,study3_43,2/2/2021 13:46,2/2/2021 13:54,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,1
study 3,study3_44,2/2/2021 13:46,2/2/2021 14:02,0,human,0,0,0 none,0,Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,51,1,1
study 3,study3_45,2/2/2021 13:47,2/2/2021 13:53,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,0,59,1,1
study 3,study3_46,2/2/2021 13:47,2/2/2021 13:55,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,1,1
study 3,study3_47,2/2/2021 13:49,2/2/2021 13:55,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,64,1,1
study 3,study3_48,2/2/2021 13:49,2/2/2021 13:56,1,human,0,0,0 none,0,Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,0,58,1,1
study 3,study3_49,2/2/2021 13:50,2/2/2021 13:58,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,56,1,1
study 3,study3_50,2/2/2021 13:51,2/2/2021 14:01,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,1,49,1,1
study 3,study3_51,2/2/2021 13:51,2/2/2021 14:09,0,human,0,0,0 none,0,Dutch teacher,18,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,1,1
study 3,study3_52,2/2/2021 13:53,2/2/2021 14:00,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,53,1,0
study 3,study3_53,2/2/2021 13:53,2/2/2021 14:06,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,52,1,1
study 3,study3_54,2/2/2021 13:53,2/2/2021 16:41,0,human,0,0,0 none,0,Dutch teacher,168,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,52,0,0
study 3,study3_55,2/2/2021 13:55,2/2/2021 14:08,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,49,1,1
study 3,study3_56,2/2/2021 13:56,2/2/2021 14:04,1,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,56,0,1
study 3,study3_57,2/2/2021 14:00,2/2/2021 14:12,1,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,0,0
study 3,study3_58,2/2/2021 14:00,2/2/2021 14:08,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,58,1,0
study 3,study3_59,2/2/2021 14:01,2/2/2021 14:15,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,48,1,1
study 3,study3_60,2/2/2021 14:02,2/2/2021 14:15,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,0,59,1,0
study 3,study3_61,2/2/2021 14:02,2/2/2021 14:14,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,0,65,0,1
study 3,study3_62,2/2/2021 14:03,2/2/2021 14:27,0,human,0,0,0 none,0,Dutch teacher,24,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,63,0,1
study 3,study3_63,2/2/2021 14:04,2/2/2021 14:38,1,human,0,0,0 none,0,Dutch teacher,35,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,0,0,69,1,1
study 3,study3_64,2/2/2021 14:06,2/2/2021 14:19,1,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,60,1,1
study 3,study3_65,2/2/2021 14:06,2/2/2021 14:12,0,human,0,0,0 none,0,Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,58,1,1
study 3,study3_66,2/2/2021 14:07,2/2/2021 14:22,0,human,0,0,0 none,0,Dutch teacher,15,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,59,1,0
study 3,study3_67,2/2/2021 14:08,2/2/2021 14:30,0,human,0,0,0 none,0,Dutch teacher,22,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,43,1,1
study 3,study3_68,2/2/2021 14:14,2/2/2021 14:21,0,human,0,0,0 none,0,Dutch teacher,7,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,52,1,1
study 3,study3_69,2/2/2021 14:16,2/2/2021 14:24,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,0,1
study 3,study3_70,2/2/2021 14:17,2/2/2021 14:22,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,52,0,0
study 3,study3_71,2/2/2021 14:17,2/2/2021 14:32,1,human,0,0,0 none,0,Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,61,0,1
study 3,study3_72,2/2/2021 14:17,2/2/2021 14:28,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,1,1
study 3,study3_73,2/2/2021 14:20,2/2/2021 14:28,1,human,0,0,0 none,0,Dutch teacher,9,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,0,56,0,1
study 3,study3_74,2/2/2021 14:22,2/2/2021 14:33,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,0,1
study 3,study3_75,2/2/2021 14:23,2/2/2021 14:36,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,55,0,0
study 3,study3_76,2/2/2021 14:25,2/2/2021 14:41,0,human,0,0,0 none,0,Dutch teacher,16,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,44,1,0
study 3,study3_77,2/2/2021 14:25,2/2/2021 14:31,1,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,56,1,1
study 3,study3_78,2/2/2021 14:26,2/2/2021 15:11,0,human,0,0,0 none,0,Dutch teacher,45,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,47,1,1
study 3,study3_79,2/2/2021 14:30,2/2/2021 15:21,0,human,0,0,0 none,0,Dutch teacher,51,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,52,1,1
study 3,study3_80,2/2/2021 14:31,2/2/2021 14:37,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,65,NA,1
study 3,study3_81,2/2/2021 14:32,2/2/2021 14:47,0,human,0,0,0 none,0,Dutch teacher,15,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,52,1,0
study 3,study3_82,2/2/2021 14:33,2/2/2021 14:40,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,62,1,1
study 3,study3_83,2/2/2021 14:34,2/2/2021 14:46,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,1
study 3,study3_84,2/2/2021 14:34,2/2/2021 14:47,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,0,1
study 3,study3_85,2/2/2021 14:36,2/2/2021 14:46,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,65,1,1
study 3,study3_86,2/2/2021 14:37,2/2/2021 14:47,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,38,1,1
study 3,study3_87,2/2/2021 14:46,2/2/2021 14:53,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,66,1,1
study 3,study3_88,2/2/2021 14:48,2/2/2021 14:56,0,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,63,0,0
study 3,study3_89,2/2/2021 14:50,2/2/2021 14:58,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,57,0,0
study 3,study3_90,2/2/2021 14:51,2/2/2021 14:58,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,1,0
study 3,study3_91,2/2/2021 14:53,2/15/2021 9:37,0,human,0,0,0 none,0,Dutch teacher,18404,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,56,1,1
study 3,study3_92,2/2/2021 14:55,2/2/2021 15:02,0,human,0,0,0 none,0,Dutch teacher,6,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,51,1,1
study 3,study3_93,2/2/2021 14:57,2/2/2021 15:13,0,human,0,0,0 none,0,Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,54,1,1
study 3,study3_94,2/2/2021 15:01,2/2/2021 15:24,1,human,0,0,0 none,0,Dutch teacher,23,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,60,1,0
study 3,study3_95,2/2/2021 15:04,2/2/2021 15:20,0,human,0,0,0 none,0,Dutch teacher,16,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,58,0,0
study 3,study3_96,2/2/2021 15:04,2/2/2021 15:27,0,human,0,0,0 none,0,Dutch teacher,23,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,58,1,0
study 3,study3_97,2/2/2021 15:04,2/2/2021 15:25,0,human,0,0,0 none,0,Dutch teacher,21,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,63,1,1
study 3,study3_98,2/2/2021 15:14,2/2/2021 15:24,0,human,0,0,0 none,0,Dutch teacher,9,2,2. Jansen,6,0,3. Other selection,1,0,8,0,0,0,56,0,1
study 3,study3_99,2/2/2021 15:19,2/2/2021 15:23,0,human,0,0,0 none,0,Dutch teacher,4,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,75,0,1
study 3,study3_100,2/2/2021 15:23,2/2/2021 15:35,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,54,1,1
study 3,study3_101,2/2/2021 15:24,2/2/2021 19:09,0,human,0,0,0 none,0,Dutch teacher,225,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,0,1
study 3,study3_102,2/2/2021 15:30,2/15/2021 14:58,1,human,0,0,0 none,0,Dutch teacher,18688,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,6,0,0,0,59,0,0
study 3,study3_103,2/2/2021 15:43,2/2/2021 15:53,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,1,0
study 3,study3_104,2/2/2021 15:45,2/2/2021 15:52,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,65,1,0
study 3,study3_105,2/2/2021 15:45,2/2/2021 16:00,0,human,0,0,0 none,0,Dutch teacher,15,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,1
study 3,study3_106,2/2/2021 15:51,2/2/2021 16:03,0,human,0,0,0 none,0,Dutch teacher,12,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,1,0
study 3,study3_107,2/2/2021 15:52,2/2/2021 16:12,0,human,0,0,0 none,0,Dutch teacher,20,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,61,1,1
study 3,study3_108,2/2/2021 15:58,2/2/2021 16:08,0,human,0,0,0 none,0,Dutch teacher,9,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,51,1,1
study 3,study3_109,2/2/2021 16:05,2/2/2021 16:11,0,human,0,0,0 none,0,Dutch teacher,6,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,52,1,0
study 3,study3_110,2/2/2021 16:05,2/2/2021 16:17,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,60,0,0
study 3,study3_111,2/2/2021 16:11,2/2/2021 16:22,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,41,1,1
study 3,study3_112,2/2/2021 16:14,2/2/2021 16:23,0,human,0,0,0 none,0,Dutch teacher,9,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,63,1,1
study 3,study3_113,2/2/2021 16:17,2/2/2021 16:25,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,0
study 3,study3_114,2/2/2021 16:18,2/2/2021 16:36,0,human,0,0,0 none,0,Dutch teacher,18,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,67,0,1
study 3,study3_115,2/2/2021 16:24,2/2/2021 16:37,0,human,0,0,0 none,0,Dutch teacher,12,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,59,0,1
study 3,study3_116,2/2/2021 16:25,2/2/2021 16:38,0,human,0,0,0 none,0,Dutch teacher,13,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,54,1,0
study 3,study3_117,2/2/2021 16:32,2/2/2021 16:37,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,48,1,0
study 3,study3_118,2/2/2021 16:46,2/2/2021 16:53,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,1,0
study 3,study3_119,2/2/2021 16:48,2/2/2021 19:48,0,human,0,0,0 none,0,Dutch teacher,180,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,64,1,1
study 3,study3_120,2/2/2021 16:56,2/2/2021 17:15,0,human,0,0,0 none,0,Dutch teacher,19,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,1,40,1,1
study 3,study3_121,2/2/2021 16:59,2/2/2021 17:17,0,human,0,0,0 none,0,Dutch teacher,18,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,61,1,1
study 3,study3_122,2/2/2021 17:08,2/2/2021 17:20,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,1,1
study 3,study3_123,2/2/2021 17:22,2/3/2021 12:22,0,human,0,0,0 none,0,Dutch teacher,1140,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,44,1,1
study 3,study3_124,2/2/2021 17:35,2/2/2021 17:47,0,human,0,0,0 none,0,Dutch teacher,12,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,64,1,1
study 3,study3_125,2/2/2021 17:41,2/2/2021 17:45,0,human,0,0,0 none,0,Dutch teacher,5,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,54,1,0
study 3,study3_126,2/2/2021 17:48,2/2/2021 17:52,0,human,0,0,0 none,0,Dutch teacher,4,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,58,0,1
study 3,study3_127,2/2/2021 17:58,2/2/2021 18:16,0,human,0,0,0 none,0,Dutch teacher,18,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,56,1,1
study 3,study3_128,2/2/2021 17:59,2/2/2021 18:30,0,human,0,0,0 none,0,Dutch teacher,31,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,55,0,0
