study,participant.id,start.date,end.date,IMC,excluded,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,familiarity.algorithms.gov,congruence.lab
study 2,study2_85,3/24/2020 19:50,3/24/2020 19:56,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6.28,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,31,1,4,NA,2.low
study 2,study2_86,3/24/2020 20:14,3/24/2020 20:17,1,0,0,human,0,0,0 none,0,Dutch teacher,3.17,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,8,0,0,1,29,0,2,NA,2.low
study 2,study2_87,3/24/2020 20:55,3/24/2020 21:20,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,24.87,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,8,0,0,0,58,1,5,0,1.high
study 2,study2_88,3/24/2020 21:28,3/24/2020 21:38,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,10.08,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,19,1,1,NA,1.high
study 2,study2_89,3/24/2020 21:55,3/24/2020 22:11,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,15.85,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,27,1,3,NA,1.high
study 2,study2_90,3/24/2020 22:11,3/24/2020 22:22,1,0,0,human,0,0,0 none,0,Dutch teacher,11.18,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,8,0,0,0,26,1,3,NA,2.low
study 2,study2_91,3/24/2020 20:14,3/24/2020 22:42,1,0,0,human,0,0,0 none,0,Dutch teacher,148.07,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,54,1,2,NA,2.low
study 2,study2_92,3/24/2020 22:40,3/24/2020 22:43,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,3.67,2,M.S. Jansen,6,0,3. Other selection,0,0,8,0,0,1,30,1,3,0,2.low
study 2,study2_93,3/24/2020 17:57,3/24/2020 22:48,1,0,0,human,0,0,0 none,0,Dutch teacher,290.88,2,M.S. Jansen,6,0,3. Other selection,1,1,6,1,1,0,66,1,5,NA,2.low
study 2,study2_94,3/24/2020 23:30,3/24/2020 23:33,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,3.43,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,0,35,1,2,NA,1.high
study 2,study2_95,3/24/2020 23:52,3/24/2020 23:57,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,4.73,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,1,28,0,3,0,1.high
study 2,study2_96,3/24/2020 23:54,3/25/2020 0:13,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,18.65,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,75,1,1,NA,2.low
study 2,study2_97,3/25/2020 0:25,3/25/2020 0:27,1,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,1.98,1,A. Verhagen,8,0,3. Other selection,0,0,4,0,0,1,25,0,4,0,1.high
study 2,study2_98,3/25/2020 0:32,3/25/2020 0:38,1,0,0,human,0,0,0 none,0,Dutch teacher,5.7,2,M.S. Jansen,6,0,3. Other selection,1,1,6,1,1,0,35,0,4,NA,2.low
study 2,study2_99,3/25/2020 0:41,3/25/2020 0:49,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,8.25,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,55,1,1,NA,1.high
study 2,study2_100,3/25/2020 1:06,3/25/2020 1:10,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,3.98,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,1,7,0,0,0,20,0,3,0,1.high
study 2,study2_101,3/25/2020 1:27,3/25/2020 1:37,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,10.72,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,47,0,1,NA,1.high
study 2,study2_102,3/25/2020 1:33,3/25/2020 1:42,1,0,1,human,0,0,0 none,0,Dutch teacher,8.42,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,55,0,2,NA,2.low
study 2,study2_103,3/25/2020 2:25,3/25/2020 2:27,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,2.1,1,A. Verhagen,8,0,3. Other selection,0,1,10,0,1,1,27,0,1,0,1.high
study 2,study2_104,3/25/2020 2:31,3/25/2020 2:35,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,3.32,1,A. Verhagen,8,0,3. Other selection,0,1,9,0,0,0,18,0,1,0,1.high
study 2,study2_105,3/25/2020 3:42,3/25/2020 3:49,0,1,0,human,0,0,0 none,0,Dutch teacher,6.38,2,M.S. Jansen,6,0,3. Other selection,1,0,8,0,0,1,38,1,5,NA,2.low
study 2,study2_106,3/25/2020 4:00,3/25/2020 4:07,0,1,0,human,0,0,0 none,0,Dutch teacher,7.2,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,8,0,1,0,88,1,4,NA,1.high
study 2,study2_107,3/25/2020 9:36,3/25/2020 9:40,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.02,1,A. Verhagen,8,0,3. Other selection,0,1,7,0,0,0,61,0,4,0,1.high
study 2,study2_108,3/25/2020 9:38,3/25/2020 9:41,0,1,1,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,2.68,1,A. Verhagen,8,0,3. Other selection,0,1,8,1,0,1,17,1,3,0,1.high
