study,participant.id,start.date,end.date,IMC,excluded,advice,advice.algorithm,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,teacher.order,familiarity.algorithms.gov,congruence.lab
study 1,study1_22,12-02-20 15:20,12-02-20 15:23,0,1,human,0,3.38,2,2.Jansen,6,0,3. Other selection,1,0,6,1,0,0,54,0,4,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_23,12-02-20 15:20,12-02-20 15:24,0,1,algorithm,1,4.2,1,1.Verhagen,8,0,3. Other selection,0,1,7,0,0,1,61,1,2,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_24,12-02-20 15:20,12-02-20 15:26,1,0,human,0,5.78,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,18,0,1,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_25,12-02-20 15:23,12-02-20 15:26,0,1,human,0,3.03,1,1.Verhagen,8,0,3. Other selection,1,0,9,0,1,0,21,0,1,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_26,12-02-20 15:23,12-02-20 15:26,0,1,human,0,3.33,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,0,39,1,3,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_27,12-02-20 15:20,12-02-20 15:26,1,0,human,0,5.98,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,47,1,3,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_28,12-02-20 15:22,12-02-20 15:27,1,0,algorithm,1,4.27,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,50,0,4,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_29,12-02-20 15:22,12-02-20 15:28,0,1,algorithm,1,5.02,2,2.Jansen,8,0,3. Other selection,1,0,6,0,0,0,26,0,1,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_30,12-02-20 15:20,12-02-20 15:29,1,0,algorithm,1,8.5,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,1,0,65,0,4,den Heijer-Jansen-Verhagen,1,2.medium
study 1,study1_31,12-02-20 15:20,12-02-20 15:29,1,0,algorithm,1,8.98,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,42,1,3,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_32,12-02-20 15:23,12-02-20 15:30,1,0,human,0,6.9,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,48,0,2,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_33,12-02-20 15:23,12-02-20 15:30,1,0,algorithm,1,7.3,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,31,0,1,den Heijer-Jansen-Verhagen,1,1.high
study 1,study1_34,12-02-20 15:23,12-02-20 15:31,1,0,human,0,8.65,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,1,4,1,1,1,26,1,2,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_35,12-02-20 15:25,12-02-20 15:32,1,0,human,0,6.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,0,0,64,0,2,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_36,12-02-20 15:31,12-02-20 15:33,1,1,human,0,2.3,2,2.Jansen,8,0,3. Other selection,1,0,8,1,1,0,31,1,2,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_37,12-02-20 15:25,12-02-20 15:33,1,0,human,0,8.1,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,44,0,3,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_38,12-02-20 15:27,12-02-20 15:33,1,0,human,0,6.72,1,1.Verhagen,8,0,3. Other selection,0,1,8,1,1,0,64,1,5,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_39,12-02-20 15:23,12-02-20 15:35,1,0,human,0,12.72,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,32,0,2,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_40,12-02-20 15:29,12-02-20 15:36,1,0,algorithm,1,7,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,18,1,1,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_41,12-02-20 15:31,12-02-20 15:38,1,0,human,0,7.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,58,0,3,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_42,12-02-20 15:31,12-02-20 15:38,1,0,human,0,6.73,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,67,0,4,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_43,12-02-20 15:34,12-02-20 15:39,0,1,algorithm,1,4.95,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,7,0,0,0,21,0,3,Jansen-den Heijer-Verhagen,0,2.medium
study 1,study1_44,12-02-20 15:31,12-02-20 15:39,1,0,human,0,7.58,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,0,0,0,1,65,NA,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_45,12-02-20 15:27,12-02-20 15:40,1,0,algorithm,1,12.47,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,6,0,1,0,22,0,3,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_46,12-02-20 15:29,12-02-20 15:40,1,0,human,0,10.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,24,0,1,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_47,12-02-20 15:32,12-02-20 15:40,1,0,human,0,8.13,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,0,0,52,1,5,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_48,12-02-20 15:38,12-02-20 15:42,1,0,algorithm,1,3.53,2,2.Jansen,6,0,3. Other selection,1,1,7,0,0,0,55,0,4,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_49,12-02-20 15:38,12-02-20 15:42,1,0,human,0,3.58,1,1.Verhagen,8,0,3. Other selection,1,1,7,0,1,0,28,1,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_50,12-02-20 15:34,12-02-20 15:44,1,0,algorithm,1,9.93,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,0,21,0,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_51,12-02-20 15:41,12-02-20 15:44,1,0,algorithm,1,3.22,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,0,44,1,3,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_52,12-02-20 15:41,12-02-20 15:45,0,1,human,0,3.73,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,0,0,19,0,2,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_53,12-02-20 15:38,12-02-20 15:45,1,0,human,0,6.38,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,39,1,5,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_54,12-02-20 15:34,12-02-20 15:46,0,1,algorithm,1,11.97,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,1,35,0,1,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_55,12-02-20 15:43,12-02-20 15:48,1,0,algorithm,1,5.05,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,50,1,2,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_56,12-02-20 15:43,12-02-20 15:50,1,0,algorithm,1,6.52,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,52,1,4,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_57,12-02-20 15:39,12-02-20 15:50,1,0,human,0,11.45,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,23,1,1,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_58,12-02-20 15:47,12-02-20 15:50,0,1,algorithm,1,2.92,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,5,0,0,0,22,0,3,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_59,12-02-20 15:46,12-02-20 15:51,1,0,human,0,5.18,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,27,1,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_60,12-02-20 15:46,12-02-20 15:53,1,0,human,0,6.97,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,3,0,0,0,30,1,4,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_61,12-02-20 15:46,12-02-20 15:55,1,0,human,0,8.37,2,2.Jansen,6,0,3. Other selection,1,0,0,0,0,0,53,0,4,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_62,12-02-20 15:41,12-02-20 15:55,1,0,algorithm,1,14.1,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,74,1,2,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_63,12-02-20 15:23,12-02-20 15:56,1,0,algorithm,1,32.93,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,1,50,0,1,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_64,12-02-20 15:48,12-02-20 15:56,1,0,human,0,7.82,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,1,53,1,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_65,12-02-20 15:46,12-02-20 15:57,1,0,algorithm,1,10.35,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,6,0,0,0,77,0,1,Verhagen-Jansen-den Heijer,1,2.medium
study 1,study1_66,12-02-20 15:46,12-02-20 15:58,1,0,human,0,11.73,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,6,0,0,1,66,1,4,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_67,12-02-20 15:46,12-02-20 15:59,1,0,human,0,12.83,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,61,1,2,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_68,12-02-20 16:08,12-02-20 16:11,0,1,human,0,3.65,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,0,1,36,1,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_69,12-02-20 16:06,12-02-20 16:12,1,0,human,0,5.93,1,1.Verhagen,8,0,3. Other selection,1,0,6,0,0,1,34,1,2,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_70,12-02-20 16:10,12-02-20 16:12,0,1,algorithm,1,2.22,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,4,1,0,0,41,0,2,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_71,12-02-20 16:08,12-02-20 16:13,1,0,human,0,4.7,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,1,0,0,1,26,1,2,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_72,12-02-20 16:14,12-02-20 16:17,0,1,human,0,3.6,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,0,1,46,0,3,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_73,12-02-20 16:19,12-02-20 16:21,0,1,human,0,2.15,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,39,0,3,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_74,12-02-20 16:16,12-02-20 16:24,1,0,human,0,7.78,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,45,0,4,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_75,12-02-20 16:19,12-02-20 16:24,1,0,human,0,5.07,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,61,1,5,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_76,12-02-20 16:19,12-02-20 16:24,1,0,human,0,5.6,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,60,0,1,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_77,12-02-20 16:16,12-02-20 16:25,1,0,algorithm,1,9.67,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,23,1,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_78,12-02-20 16:19,12-02-20 16:25,1,0,human,0,6.92,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,33,1,3,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_79,12-02-20 16:19,12-02-20 16:27,1,0,algorithm,1,8.12,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,49,1,5,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_80,12-02-20 16:21,12-02-20 16:28,1,0,algorithm,1,6.68,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,57,1,3,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_81,12-02-20 16:16,12-02-20 16:28,1,0,algorithm,1,12.07,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,57,1,4,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_82,12-02-20 16:23,12-02-20 16:28,1,0,human,0,4.85,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,37,1,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_83,12-02-20 16:22,12-02-20 16:29,1,0,algorithm,1,7,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,21,1,1,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_84,12-02-20 16:27,12-02-20 16:30,1,0,human,0,3.07,1,1.Verhagen,8,0,3. Other selection,1,0,5,0,1,1,37,1,2,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_85,12-02-20 16:28,12-02-20 16:32,0,1,human,0,4.62,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,0,32,0,2,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_86,12-02-20 16:31,12-02-20 16:36,0,1,algorithm,1,5.9,1,1.Verhagen,8,0,3. Other selection,1,1,7,0,1,0,63,0,3,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_87,12-02-20 16:23,12-02-20 16:37,1,0,algorithm,1,13.83,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,46,1,1,Jansen-Verhagen-den Heijer,0,1.high
study 1,study1_88,12-02-20 16:28,12-02-20 16:37,1,0,human,0,9.57,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,20,1,1,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_89,12-02-20 16:23,12-02-20 16:38,1,0,human,0,14.22,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,2,0,0,1,54,0,1,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_90,12-02-20 16:33,12-02-20 16:38,1,0,human,0,4.53,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,35,1,1,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_91,12-02-20 16:37,12-02-20 16:38,0,1,human,0,1.7,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,6,0,0,0,81,0,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_92,12-02-20 16:28,12-02-20 16:39,1,0,algorithm,1,10.78,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,37,1,3,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_93,12-02-20 16:35,12-02-20 16:39,0,1,human,0,4.35,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,7,0,1,0,40,0,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_94,12-02-20 16:14,12-02-20 16:40,1,0,human,0,26.58,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,23,1,1,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_95,12-02-20 16:31,12-02-20 16:41,1,0,human,0,9.93,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,5,0,0,0,53,1,1,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_96,12-02-20 16:39,12-02-20 16:41,0,1,algorithm,1,2.73,2,2.Jansen,6,0,3. Other selection,0,0,7,0,0,0,31,0,2,Jansen-den Heijer-Verhagen,1,3.low
study 1,study1_97,12-02-20 16:35,12-02-20 16:41,1,0,human,0,6.2,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,50,0,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_98,12-02-20 16:28,12-02-20 16:42,1,0,algorithm,1,14.25,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,8,0,0,0,59,0,3,Verhagen-Jansen-den Heijer,1,2.medium
study 1,study1_99,12-02-20 16:39,12-02-20 16:42,0,1,algorithm,1,3.32,2,2.Jansen,8,0,3. Other selection,0,0,2,0,0,0,35,0,2,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_100,12-02-20 16:37,12-02-20 16:44,1,0,human,0,7.22,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,27,1,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_101,12-02-20 16:34,12-02-20 16:45,1,0,human,0,10.88,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,4,0,0,0,57,1,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_102,12-02-20 16:41,12-02-20 16:46,1,0,algorithm,1,5.37,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,0,1,50,0,4,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_103,12-02-20 16:37,12-02-20 16:48,1,0,algorithm,1,10.95,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,1,24,1,4,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_104,12-02-20 16:46,12-02-20 16:48,0,1,human,0,2.17,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,7,0,1,0,35,0,3,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_105,12-02-20 16:39,12-02-20 16:50,0,1,algorithm,1,11.17,2,2.Jansen,6,0,3. Other selection,0,0,8,0,1,1,59,0,1,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_106,12-02-20 16:46,12-02-20 16:56,1,0,algorithm,1,9.92,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,0,1,43,0,2,Verhagen-Jansen-den Heijer,1,2.medium
study 1,study1_107,12-02-20 16:57,12-02-20 16:59,0,1,human,0,2.27,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,51,1,3,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_108,12-02-20 16:56,12-02-20 17:03,1,0,human,0,6.93,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,20,1,2,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_109,12-02-20 17:00,12-02-20 17:04,0,1,human,0,4.03,2,2.Jansen,8,0,3. Other selection,0,0,7,0,1,1,38,1,3,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_110,12-02-20 16:57,12-02-20 17:07,1,0,human,0,9.87,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,20,1,2,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_111,12-02-20 16:58,12-02-20 17:07,1,0,algorithm,1,9.07,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,29,1,1,Jansen-den Heijer-Verhagen,1,1.high
study 1,study1_112,12-02-20 16:59,12-02-20 17:08,1,0,algorithm,1,9.03,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,44,0,1,Verhagen-Jansen-den Heijer,1,2.medium
study 1,study1_113,12-02-20 16:59,12-02-20 17:09,1,0,human,0,10.45,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,39,1,3,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_114,12-02-20 16:56,12-02-20 17:09,1,0,algorithm,1,13.18,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,69,1,4,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_115,12-02-20 16:59,12-02-20 17:12,1,0,algorithm,1,13.05,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,62,0,2,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_116,12-02-20 17:07,12-02-20 17:12,1,0,algorithm,1,5.57,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,4,0,1,0,20,0,1,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_117,12-02-20 16:54,12-02-20 17:14,0,1,human,0,20.17,2,2.Jansen,8,0,3. Other selection,0,0,0,0,0,0,20,1,2,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_118,12-02-20 17:02,12-02-20 17:16,1,0,human,0,14.35,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,46,0,1,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_119,12-02-20 16:54,12-02-20 17:19,1,0,algorithm,1,24.85,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,61,0,3,den Heijer-Jansen-Verhagen,0,1.high
